topicId,rank,docId,filename
0,0,599,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186098.txt
0,1,738,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186099.txt
0,2,675,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186112.txt
0,3,2807,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186118.txt
0,4,305,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186100.txt
0,5,2771,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186119.txt
0,6,329,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185179.txt
0,7,2977,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186132.txt
0,8,2516,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104184864.txt
0,9,2887,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186078.txt
0,10,1693,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185058.txt
0,11,2711,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186086.txt
0,12,2676,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185206.txt
0,13,2315,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185210.txt
0,14,1647,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185851.txt
0,15,2867,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186087.txt
0,16,2246,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185101.txt
0,17,1502,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104184821.txt
0,18,1228,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186832.txt
0,19,43,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185972.txt
0,20,901,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185119.txt
0,21,35,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104187156.txt
0,22,1255,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185876.txt
0,23,2293,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186030.txt
0,24,2506,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185561.txt
0,25,1446,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186159.txt
0,26,1783,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185112.txt
0,27,1368,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185069.txt
0,28,2690,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185216.txt
0,29,1758,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186209.txt
0,30,1743,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186221.txt
0,31,2010,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186190.txt
0,32,1482,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185068.txt
0,33,1229,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186826.txt
0,34,2914,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185765.txt
0,35,167,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186088.txt
0,36,1230,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104184957.txt
0,37,2519,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185993.txt
0,38,2429,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185167.txt
0,39,3040,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185994.txt
0,40,1489,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185732.txt
0,41,217,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186277.txt
0,42,2126,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186958.txt
0,43,260,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185193.txt
0,44,1643,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185879.txt
0,45,2664,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185992.txt
0,46,1244,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104184765.txt
0,47,1179,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185718.txt
0,48,344,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186538.txt
0,49,1211,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185877.txt
0,50,17,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186089.txt
0,51,1412,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186170.txt
0,52,731,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104187146.txt
0,53,2164,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186347.txt
0,54,2554,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185165.txt
0,55,2172,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186384.txt
0,56,2459,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185991.txt
0,57,1181,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104184360.txt
0,58,733,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185751.txt
0,59,905,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104184561.txt
0,60,1332,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104186038.txt
0,61,2167,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185882.txt
0,62,602,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104187153.txt
0,63,818,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104184560.txt
0,64,797,file:/Users/homebase/Desktop/HIST3814/week-four/topic-models/tmt/input/104185722.txt
